Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-06-01,184,0,"256.817,00",120,64,184,0,"177.091,00","79.726,00","256.817,00","0,00"
2022-06-02,161,0,"240.770,00",103,58,161,0,"162.315,00","78.455,00","240.770,00","0,00"
2022-06-03,213,0,"358.091,00",143,70,213,0,"255.082,00","103.009,00","358.091,00","0,00"
2022-06-04,162,0,"240.918,00",96,66,162,0,"151.897,00","89.021,00","240.918,00","0,00"
2022-06-05,137,0,"221.550,00",85,52,137,0,"136.461,00","85.089,00","221.550,00","0,00"
2022-06-06,117,0,"196.997,00",81,36,117,0,"142.496,00","54.501,00","196.997,00","0,00"
2022-06-07,285,0,"347.108,00",175,110,285,0,"230.089,00","117.019,00","347.108,00","0,00"
2022-06-08,148,0,"246.809,00",89,59,148,0,"162.225,00","84.584,00","246.809,00","0,00"
2022-06-09,187,1,"320.726,00",138,49,187,0,"241.037,00","79.689,00","320.726,00","0,00"
2022-06-10,235,0,"390.982,00",158,77,235,0,"283.624,00","107.358,00","390.982,00","0,00"
2022-06-11,171,0,"310.189,00",97,74,171,0,"177.740,00","132.449,00","310.189,00","0,00"
2022-06-12,182,0,"321.024,00",101,81,182,0,"173.985,00","147.039,00","321.024,00","0,00"
2022-06-13,133,0,"198.865,00",92,41,133,0,"146.792,00","52.073,00","198.865,00","0,00"
2022-06-14,290,0,"350.016,00",189,101,290,0,"233.201,00","116.815,00","350.016,00","0,00"
2022-06-15,167,0,"262.083,00",110,57,167,0,"161.509,00","100.574,00","262.083,00","0,00"
2022-06-16,170,0,"274.210,50",109,61,170,0,"189.978,00","84.232,50","274.210,50","0,00"
2022-06-17,213,0,"385.139,00",118,95,213,0,"219.549,00","165.590,00","385.139,00","0,00"
2022-06-18,194,0,"345.963,00",121,73,194,0,"215.365,00","130.598,00","345.963,00","0,00"
2022-06-19,129,0,"218.890,50",71,58,129,0,"123.725,00","95.165,50","218.890,50","0,00"
2022-06-20,121,0,"199.351,50",76,45,121,0,"124.112,00","75.239,50","199.351,50","0,00"
2022-06-21,293,0,"322.650,00",187,106,293,0,"211.597,00","111.053,00","322.650,00","0,00"
2022-06-22,152,1,"218.592,00",95,57,152,0,"144.806,00","73.786,00","218.592,00","0,00"
2022-06-23,167,0,"273.268,00",110,57,167,0,"178.423,00","94.845,00","273.268,00","0,00"
2022-06-24,210,0,"350.354,00",130,80,210,0,"232.602,00","117.752,00","350.354,00","0,00"
2022-06-25,182,0,"339.201,00",108,74,182,0,"212.070,00","127.131,00","339.201,00","0,00"
2022-06-26,167,0,"304.412,00",81,86,167,0,"151.751,00","152.661,00","304.412,00","0,00"
2022-06-27,119,0,"181.133,00",71,48,119,0,"116.859,00","64.274,00","181.133,00","0,00"
2022-06-28,278,0,"358.308,00",170,108,278,0,"229.846,00","128.462,00","358.308,00","0,00"
2022-06-29,146,0,"240.639,00",98,48,146,0,"173.795,00","66.844,00","240.639,00","0,00"
2022-06-30,102,0,"150.388,00",64,38,102,0,"97.940,00","52.448,00","150.388,00","0,00"
